NIVEL,Imagen,Precio,Descripción de plan ,link Pago
Socio Fundador Vitalicio,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Ni6oAeVCcPUBefUAmcLf.jpeg,$1299,"Unico Pago, Acceso Vitalicio Limitado a 50 Personas, Soporte Prioritario, Gana ingresos Pasivos Por Referido",https://mpago.li/1dRFXac
Socio Platium,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/FvH3LxUC4y78Um90mQDT.jpeg,$1299,"Membresia  Anual, Acesso a comunidad con opcion de Ascenso Vitalicio, Soporte Prioritario",https://buy.stripe.com/test_fZu7sLaNgaJ40RzcLUfEk00
Socio Aurum,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/tq4piFYXxPxJ03L3cdsY.jpeg,$799,"Membresia Semestral con Acceso total , Aceso a Comunidad",https://www.mercadopago.com.mx/subscriptions/checkout?preapproval_plan_id=5a79eb4dd63d402fa3f0070afd625c08
Socio Argentum,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/kkKFz04thvgxSXCRfHww.jpeg,$189,"Membresia Mesual con Acceso total, Aceso a Comunidad",https://www.mercadopago.com.mx/subscriptions/checkout?preapproval_plan_id=14828cfc29344220a473777f490e9ce1
