Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Template,Ejercicio 4,Ejercico 5
Pino: Tren Superior,Flexiones Escapulares,Remo Sentado con Liga,Plancha Inclinada,"Flexiones Escapulares , Remo Sentado con Liga , Plancha Inclinada ,  , ",,
Pino: Tren Inferior ,,,," ,  ,  ,  , ",,
Semilla: Tren Superior ,Flexiones en Pared,,,"Flexiones en Pared ,  ,  ,  , ",,
Semilla: Tren Inferior,Sentadilla Normal,,,"Sentadilla Normal ,  ,  ,  , ",,
Semilla: Tren Superior Paralels/Barra Ligas,Flexiones Neutras,Escápula Push-ups,L-Sit Asistido,"Flexiones Neutras , Escápula Push-ups , L-Sit Asistido , Fondos de Tríceps , Plancha",Fondos de Tríceps,Plancha
Semilla: Cuerpo Completo,,,," ,  ,  ,  , ",,
,,,," ,  ,  ,  , ",,
